business,company_name,deadline,keyword,link,location,position,salary_condition
모바일 앱 사용자 행동 분석 솔루션 유저해빗을 개발하여 서비스 중인 데이터 기술 스타트업입니다.,유저해빗,03.31 마감,"Java, Python",https://www.rocketpunch.com/jobs/68986/%EB%AA%A8%EB%B0%94%EC%9D%BC-%EC%95%B1-%EB%B6%84%EC%84%9D-%EC%86%94%EB%A3%A8%EC%85%98-%EC%9B%B9-%EA%B0%9C%EB%B0%9C%EC%9E%905-10%EB%85%84%EC%B0%A8,서울특별시 마포구,모바일 앱 분석 솔루션: 웹 개발자(5-10년차),"5,000 - 6,000만원 / 경력"
머신러닝/인공지능을 활용한 개인화 취향 분석 및 컨텐츠 추천 기술을 연구합니다.,라이앤캐처스,수시채용,"Java, Python, machine-learning, Datamining, matrix-factorization, devops, data-structures, GitHub, agile, analytics, amazon-elb, Web Service, Django, Flask, Redis, recommendation",https://www.rocketpunch.com/jobs/4308/%EC%B6%94%EC%B2%9C%EC%97%94%EC%A7%84-Backend-%EA%B0%9C%EB%B0%9C-%EC%A7%80%EB%B6%84-%EC%B0%B8%EC%97%AC,경력,"추천엔진, Backend 개발 (지분 참여)","최소 5,000만원 / 1.0% - 3.0% / 경력"
Machine Learning made accessible and intuitive,엑스브레인,수시채용,"Python, Back-end, devops, software-architecture, Amazon AWS, Git, JavaScript, Hadoop, 백엔드, 소프트웨어아키텍처,  파이썬, 자바스크립트, 영어",https://www.rocketpunch.com/jobs/67479/Software-EngineerFrontend,서울특별시 중구,Software Engineer(Frontend),"3,000 - 10,000만원 / 경력"
심플! 편안한 해외직구 애프터바이! 국내 오픈마켓 같은 해외직구 서비스,아이디브,03.21 마감,"Android, iOS, PHP, Python, MySQL, Node.js, React, Back-end, Amazon AWS, Bootstrap, GitHub, Git, Kotlin, 영어, 일본어, 독일어",https://www.rocketpunch.com/jobs/69882/%ED%95%B4%EC%99%B8%EC%A7%81%EA%B5%AC-%EC%95%A0%ED%94%84%ED%84%B0%EB%B0%94%EC%9D%B4-PythonReact-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EB%AA%A8%EC%8B%AD%EB%8B%88%EB%8B%A4,서울특별시 마포구,"해외직구 애프터바이 [Python,React 개발자] 모십니다!","최대 9,000만원 / 최대 3.0% / 경력"
Machine Learning made accessible and intuitive,엑스브레인,수시채용,"Python, Back-end, devops, software-architecture, Amazon AWS, Git, JavaScript, Hadoop, 백엔드, 소프트웨어아키텍처,  파이썬, 자바스크립트, 영어",https://www.rocketpunch.com/jobs/67477/Software-EngineerBackend,서울특별시 중구,Software Engineer(Backend),"3,000 - 10,000만원 / 신입, 경력"
강력한 기술과 재미있는 생각으로 드라이빙 라이프를 혁신하는 기업,엠투브,03.31 마감,"Android, iOS, Java, PHP, Node.js, JSP, AngularJS, MySQL, MongoDB, Python",https://www.rocketpunch.com/jobs/57749/%EC%98%81%EC%83%81%EC%B2%98%EB%A6%AC%EB%B9%85%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9CIOS%EC%84%9C%EB%B2%84-%EB%B6%84%EC%95%BC-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EB%AA%A8%EC%A7%91,"경기도 성남시, 경기도 군포시",영상처리/빅데이터/안드로이드/IOS/서버 분야 개발자 모집,"2,400 - 10,000만원 / 인턴, 신입, 경력"
No.1 모바일 패션 커머스 플랫폼,브랜디,수시채용,"PHP, Python, MySQL, Amazon AWS, Back-end, JavaScript, Vue.js, Front-end",https://www.rocketpunch.com/jobs/63994/%EB%B8%8C%EB%9E%9C%EB%94%94-Back-end-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EB%B0%8F-%EC%9B%B9-%EA%B0%9C%EB%B0%9C%EC%9E%90,서울특별시 강남구,[브랜디] Back-end 개발자 및 웹 개발자,"3,000 - 7,000만원 / 신입, 경력"
We Rebuild Education,매스프레소,03.31 마감,"Python, Problem solving, algorithm",https://www.rocketpunch.com/jobs/70589/Math-Engine-Developer,서울특별시 강남구,Math Engine Developer,"3,500 - 6,000만원 / 인턴, 신입, 경력"
"실리콘밸리, 홍콩에 베이스를 둔 AI 기반 여행 서비스 회사입니다.",트래블플랜,03.31 마감,"Python, Django, PostgreSQL, Amazon AWS, Back-end, Aliyun cloud, Redis, 서버관리",https://www.rocketpunch.com/jobs/68865/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EB%AA%A8%EC%A7%91-%EA%B2%BD%EB%A0%A5%EC%9E%90,"경기도 성남시, CA Santa Clara County, Hong Kong Island",백엔드 개발자 모집 (경력자),"4,000 - 7,000만원 / 경력"
애니메이션을 합법적으로 무료로 감상할 수 있는 서비스,리디(주) - 라프텔 사업본부,12.31 마감,"Python, Django, PostgreSQL, Amazon AWS, 영어",https://www.rocketpunch.com/jobs/63669/%EC%84%9C%EB%B2%84%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,서울특별시 강남구,서버(백엔드) 개발자,"4,000 - 10,000만원 / 경력"
We are all influential,마켓잇,수시채용,"Android, iOS, PHP, Python, JSP, HTTP, RESTful-api, React.js, react-native, aws, MySQL, MongoDB, Go",https://www.rocketpunch.com/jobs/68430/%EC%9B%B9%EB%AA%A8%EB%B0%94%EC%9D%BC-%EA%B0%9C%EB%B0%9C%EC%9E%90,서울특별시 성동구,웹/모바일 개발자,경력
